Time(longsecs),Time(UTC),Mass position W 1(mV),Mass position V 2(mV),Mass position U 3(mV),
1484242740,2017-01-12 17:39:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484242800,2017-01-12 17:40:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484242860,2017-01-12 17:41:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484242920,2017-01-12 17:42:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484242980,2017-01-12 17:43:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243040,2017-01-12 17:44:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243100,2017-01-12 17:45:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243160,2017-01-12 17:46:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243220,2017-01-12 17:47:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243280,2017-01-12 17:48:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243340,2017-01-12 17:49:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243400,2017-01-12 17:50:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243460,2017-01-12 17:51:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243520,2017-01-12 17:52:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484243580,2017-01-12 17:53:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243640,2017-01-12 17:54:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243700,2017-01-12 17:55:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243760,2017-01-12 17:56:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484243820,2017-01-12 17:57:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484243880,2017-01-12 17:58:00.000,-7.926029873488005E1,-4.390262561817199E2,7.375056587119998E2,
1484243940,2017-01-12 17:59:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
